frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
1,0.95,0.954,-0.318,0.142,-3.14,4.24,-0.06,null,null
2,0.95,0.983,-0.628,-0.006,-15.5,3.48,-15.78,null,null
3,0.95,0.886,-0.664,-0.037,-31.31,46.24,-105.47,null,null
4,0.95,0.626,-0.156,0.247,-76.39,53.68,-159.79,null,null
5,0.95,0.556,0.093,0.403,28.26,98.76,-210.0,null,null
6,0.95,0.241,0.443,0.431,17.09,96.16,-207.89,null,null
7,0.95,-0.408,0.595,0.552,-9.34,105.14,-238.11,null,null
8,0.95,-0.283,1.835,0.91,143.96,21.15,-106.78,null,null
9,0.95,-0.117,1.13,0.902,-0.49,1.53,7.57,null,null
10,0.95,-0.126,0.858,0.578,3.81,-22.16,30.76,null,null
11,0.95,-0.038,0.653,0.462,-4.79,-2.81,14.74,null,null
12,0.95,-0.037,0.738,0.583,1.01,1.19,1.95,null,null
13,0.95,-0.05,0.815,0.615,-0.06,3.3,-0.37,null,null
14,0.95,-0.034,0.78,0.615,0.89,-1.01,0.15,null,null
15,0.95,-0.041,0.776,0.604,1.04,-2.01,2.2,null,null
16,0.95,-0.041,0.763,0.571,3.72,1.86,-0.58,null,null
17,0.95,-0.046,0.777,0.617,-2.93,4.64,-3.27,null,null
18,0.95,-0.053,0.784,0.611,0.95,1.07,-0.55,null,null
19,0.95,-0.062,0.787,0.602,-2.11,-0.06,-2.75,null,null
0,0.95,0.925,-0.362,0.122,-4.27,1.13,-0.24,null,null
1,0.95,0.923,-0.385,0.141,-3.97,0.34,-1.53,null,null
2,0.95,0.966,-0.628,0.01,-7.63,-3.14,-15.59,null,null
3,0.95,0.878,-0.584,0.035,-36.65,34.39,-91.83,null,null
4,0.95,0.732,-0.242,0.105,-34.3,61.1,-146.18,null,null
5,0.95,0.683,0.083,0.269,26.34,99.31,-165.68,null,null
6,0.95,0.581,0.25,0.412,-27.34,81.3,-157.44,null,null
7,0.95,0.015,0.41,0.548,34.12,145.82,-228.95,null,null
8,0.95,-0.547,0.545,0.649,-43.21,75.29,-225.81,null,null
9,0.95,-0.23,1.376,0.782,-96.1,-28.35,38.03,null,null
10,0.95,-0.171,0.939,0.584,9.16,-25.73,29.73,null,null
11,0.95,-0.045,0.576,0.432,1.95,-2.11,23.44,null,null
12,0.95,-0.087,0.737,0.625,-2.44,13.4,-0.58,null,null
13,0.95,-0.102,0.807,0.665,-2.08,6.59,-4.12,null,null
14,0.95,-0.104,0.78,0.621,2.84,-4.33,2.44,null,null
15,0.95,-0.099,0.749,0.578,1.4,-0.49,1.62,null,null
16,0.95,-0.103,0.751,0.59,2.26,3.6,-3.6,null,null
17,0.95,-0.11,0.781,0.61,-1.71,3.36,-5.1,null,null
18,0.95,-0.125,0.794,0.609,1.86,0.55,-0.98,null,null
0,0.95,0.939,-0.274,0.212,3.48,-2.9,6.29,null,null
1,0.95,0.953,-0.309,0.205,3.69,6.2,-10.96,null,null
2,0.95,0.953,-0.415,0.203,-10.83,3.3,-21.94,null,null
3,0.95,0.913,-0.566,0.052,-64.91,17.24,-84.11,null,null
4,0.95,0.696,-0.101,0.248,-16.02,84.32,-148.59,null,null
5,0.95,0.58,0.177,0.313,41.26,84.48,-174.69,null,null
6,0.95,0.355,0.323,0.461,7.93,81.76,-193.52,null,null
7,0.95,-0.456,0.686,0.493,11.29,90.21,-266.37,null,null
8,0.95,-0.523,2.19,1.059,21.21,84.63,-126.65,null,null
9,0.95,-0.232,1.021,0.896,9.16,-4.43,-3.3,null,null
10,0.95,-0.154,0.73,0.66,1.37,-26.22,25.21,null,null
11,0.95,-0.093,0.631,0.48,5.25,1.34,7.29,null,null
12,0.95,-0.124,0.682,0.651,-9.19,9.7,-1.62,null,null
13,0.95,-0.148,0.767,0.7,-6.1,6.53,-2.2,null,null
14,0.95,-0.148,0.726,0.676,-2.04,-3.3,0.18,null,null
15,0.95,-0.127,0.685,0.606,0.82,-2.04,0.09,null,null
16,0.95,-0.155,0.739,0.64,2.66,4.21,-4.27,null,null
17,0.95,-0.16,0.762,0.657,3.27,0.55,-1.13,null,null
18,0.95,-0.152,0.749,0.646,2.14,-2.01,2.2,null,null
