frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
2,0.95,0.174,-0.138,1.005,18.37,-9.37,-9.77,null,null
3,0.95,0.117,-0.097,1.049,23.41,-13.12,14.01,null,null
4,0.95,0.135,-0.12,0.964,10.62,-41.78,46.02,null,null
5,0.95,0.351,-0.055,0.867,16.27,-12.39,33.2,null,null
6,0.95,0.376,-0.061,0.919,1.89,-9.22,23.35,null,null
7,0.95,0.357,-0.024,0.867,-2.11,-5.89,12.51,null,null
8,0.95,0.412,-0.06,0.941,1.53,-18.43,19.56,null,null
9,0.95,0.471,-0.081,0.917,17.0,-11.14,5.22,null,null
10,0.95,0.455,-0.075,0.873,17.94,-0.52,-17.55,null,null
11,0.95,0.396,-0.001,0.843,27.77,25.85,-16.05,null,null
12,0.95,0.457,0.024,0.983,20.91,24.35,-28.23,null,null
13,0.95,0.465,0.075,0.969,10.32,-13.12,-25.06,null,null
14,0.95,0.446,0.09,0.842,-3.48,1.04,-25.21,null,null
15,0.95,0.432,0.139,0.916,0.61,5.58,-28.05,null,null
16,0.95,0.404,0.196,0.897,23.1,-10.71,-25.12,null,null
17,0.95,0.441,0.204,0.835,20.57,-7.14,-21.61,null,null
18,0.95,0.377,0.256,0.927,3.42,6.04,-3.05,null,null
19,0.95,0.382,0.217,0.883,0.73,5.16,5.43,null,null
0,0.95,0.644,0.421,0.665,-4.43,-51.58,4.18,null,null
1,0.95,0.728,0.501,0.585,-6.87,-65.61,19.38,null,null
2,0.95,0.812,0.386,0.429,-7.32,-48.52,19.23,null,null
3,0.95,0.682,0.303,0.547,-29.02,11.05,-9.77,null,null
4,0.95,-0.091,0.264,1.07,-70.28,96.62,-66.47,null,null
5,0.95,-0.397,0.125,1.355,-93.72,126.8,-16.08,null,null
6,0.95,0.075,0.047,1.08,-7.54,-6.2,-11.9,null,null
7,0.95,0.236,-0.035,0.965,-27.8,3.57,17.79,null,null
8,0.95,0.23,0.039,0.999,-10.41,3.6,-2.35,null,null
9,0.95,0.207,0.026,1.007,-10.93,7.75,3.17,null,null
10,0.95,0.239,0.065,0.952,-9.4,-0.43,1.46,null,null
11,0.95,0.236,0.031,0.967,-4.09,-1.95,5.1,null,null
12,0.95,0.241,0.01,0.942,-2.01,-2.99,2.96,null,null
13,0.95,0.22,0.005,0.941,-4.64,7.35,1.04,null,null
14,0.95,0.218,0.005,0.948,-6.29,0.85,1.13,null,null
15,0.95,0.223,-0.001,0.954,-5.98,2.26,-1.37,null,null
16,0.95,0.216,-0.006,0.965,-4.43,-1.59,-0.18,null,null
17,0.95,0.222,-0.03,0.987,-4.39,-1.16,-0.64,null,null
18,0.95,0.215,-0.04,0.989,-5.4,-0.49,1.71,null,null
19,0.95,0.218,-0.045,0.965,-1.56,-5.62,0.7,null,null
0,0.95,0.715,0.398,0.617,18.25,-74.04,55.91,null,null
1,0.95,0.904,0.259,0.645,12.15,-29.36,29.66,null,null
2,0.95,0.741,0.224,0.514,-15.63,12.15,-11.9,null,null
3,0.95,0.416,0.076,0.88,-74.16,108.62,-37.17,null,null
4,0.95,-0.049,0.143,1.271,-88.99,111.27,-18.1,null,null
5,0.95,0.053,0.04,1.088,-55.02,65.43,-14.44,null,null
6,0.95,0.256,-0.128,1.02,-12.02,-5.62,5.86,null,null
7,0.95,0.405,-0.141,0.917,-17.3,-1.46,13.76,null,null
8,0.95,0.364,-0.053,0.907,-17.52,4.52,4.52,null,null
9,0.95,0.333,-0.105,0.951,-5.28,-2.84,1.34,null,null
10,0.95,0.314,-0.1,0.937,-2.38,3.72,2.47,null,null
11,0.95,0.353,-0.116,0.923,-1.86,-2.17,0.06,null,null
12,0.95,0.348,-0.171,0.934,-19.32,2.2,10.59,null,null
13,0.95,0.349,-0.167,0.921,-2.9,0.15,-2.29,null,null
14,0.95,0.335,-0.102,0.916,-2.23,4.61,-5.83,null,null
15,0.95,0.353,-0.122,0.926,-5.19,1.5,0.46,null,null
16,0.95,0.326,-0.106,0.918,0.34,-0.37,-3.81,null,null
17,0.95,0.346,-0.117,0.92,-4.09,-0.4,-0.49,null,null
18,0.95,0.347,-0.13,0.928,-3.54,1.37,1.22,null,null
19,0.95,0.336,-0.143,0.939,-1.8,-0.18,2.84,null,null
0,0.95,0.323,0.25,0.921,-14.71,-9.49,-10.68,null,null
1,0.95,0.299,0.205,0.96,-39.28,-22.31,0.73,null,null
2,0.95,0.279,0.201,0.927,-5.46,-3.72,-4.91,null,null
3,0.95,0.318,0.163,0.93,0.67,2.5,-0.15,null,null
4,0.95,0.391,0.151,0.96,10.41,-17.64,-4.76,null,null
5,0.95,0.678,0.225,0.748,15.29,-43.15,8.82,null,null
6,0.95,0.738,0.2,0.628,13.79,-96.38,23.5,null,null
7,0.95,0.769,0.168,0.769,-8.7,-35.31,31.19,null,null
