frame_index,timestamp,gesture,trial,elapsed,dataset_source,confidence,num_points,points,range_profile,motion_score
139,2026-07-26T23:42:46.987359+00:00,pull,1,1.968064,session_20260726_234022,0.0,0,[],null,0.0
140,2026-07-26T23:42:52.017310+00:00,pull,2,5.1e-05,session_20260726_234022,0.0,0,[],null,0.0
141,2026-07-26T23:42:52.122394+00:00,pull,2,0.105135,session_20260726_234022,0.0,0,[],null,0.0
142,2026-07-26T23:42:52.227479+00:00,pull,2,0.21022,session_20260726_234022,0.0,0,[],null,0.0
143,2026-07-26T23:42:52.331055+00:00,pull,2,0.313786,session_20260726_234022,0.0,0,[],null,0.0
144,2026-07-26T23:42:52.436114+00:00,pull,2,0.418839,session_20260726_234022,0.0,0,[],null,0.0
145,2026-07-26T23:42:52.536394+00:00,pull,2,0.519129,session_20260726_234022,0.0,0,[],null,0.0
146,2026-07-26T23:42:52.641481+00:00,pull,2,0.624223,session_20260726_234022,0.0,0,[],null,0.0
147,2026-07-26T23:42:52.746564+00:00,pull,2,0.729298,session_20260726_234022,0.0,0,[],null,0.0
148,2026-07-26T23:42:52.851638+00:00,pull,2,0.834368,session_20260726_234022,0.0,0,[],null,0.0
149,2026-07-26T23:42:52.956712+00:00,pull,2,0.939449,session_20260726_234022,0.0,0,[],null,0.0
150,2026-07-26T23:42:53.057438+00:00,pull,2,1.040156,session_20260726_234022,0.0,0,[],null,0.0
151,2026-07-26T23:42:53.162502+00:00,pull,2,1.145235,session_20260726_234022,0.0,0,[],null,0.0
152,2026-07-26T23:42:53.267594+00:00,pull,2,1.250334,session_20260726_234022,0.0,0,[],null,0.0
153,2026-07-26T23:42:53.372682+00:00,pull,2,1.355435,session_20260726_234022,0.0,0,[],null,0.0
154,2026-07-26T23:42:53.477776+00:00,pull,2,1.460516,session_20260726_234022,0.0,0,[],null,0.0
155,2026-07-26T23:42:53.579470+00:00,pull,2,1.562215,session_20260726_234022,0.0,0,[],null,0.0
156,2026-07-26T23:42:53.680254+00:00,pull,2,1.662985,session_20260726_234022,0.0,0,[],null,0.0
157,2026-07-26T23:42:53.785314+00:00,pull,2,1.768037,session_20260726_234022,0.0,0,[],null,0.0
158,2026-07-26T23:42:53.890363+00:00,pull,2,1.873086,session_20260726_234022,0.0,0,[],null,0.0
159,2026-07-26T23:42:53.995412+00:00,pull,2,1.978136,session_20260726_234022,0.0,0,[],null,0.0
160,2026-07-26T23:42:58.769150+00:00,pull,3,5.4e-05,session_20260726_234022,0.0,0,[],null,0.0
161,2026-07-26T23:42:58.874255+00:00,pull,3,0.105159,session_20260726_234022,0.0,0,[],null,0.0
162,2026-07-26T23:42:58.979344+00:00,pull,3,0.210236,session_20260726_234022,0.0,0,[],null,0.0
163,2026-07-26T23:42:59.083247+00:00,pull,3,0.314144,session_20260726_234022,0.0,0,[],null,0.0
164,2026-07-26T23:42:59.188311+00:00,pull,3,0.419198,session_20260726_234022,0.0,0,[],null,0.0
165,2026-07-26T23:42:59.293375+00:00,pull,3,0.524262,session_20260726_234022,0.0,0,[],null,0.0
166,2026-07-26T23:42:59.395123+00:00,pull,3,0.626012,session_20260726_234022,0.0,0,[],null,0.0
167,2026-07-26T23:42:59.500177+00:00,pull,3,0.731062,session_20260726_234022,0.0,0,[],null,0.0
168,2026-07-26T23:42:59.604094+00:00,pull,3,0.834983,session_20260726_234022,0.0,0,[],null,0.0
169,2026-07-26T23:42:59.706601+00:00,pull,3,0.937489,session_20260726_234022,0.0,0,[],null,0.0
170,2026-07-26T23:42:59.811670+00:00,pull,3,1.042564,session_20260726_234022,0.0,0,[],null,0.0
171,2026-07-26T23:42:59.916751+00:00,pull,3,1.147646,session_20260726_234022,0.0,0,[],null,0.0
172,2026-07-26T23:43:00.021467+00:00,pull,3,1.252371,session_20260726_234022,0.0,0,[],null,0.0
173,2026-07-26T23:43:00.126544+00:00,pull,3,1.357434,session_20260726_234022,0.0,0,[],null,0.0
174,2026-07-26T23:43:00.231600+00:00,pull,3,1.462484,session_20260726_234022,0.0,0,[],null,0.0
175,2026-07-26T23:43:00.336647+00:00,pull,3,1.567528,session_20260726_234022,0.0,0,[],null,0.0
176,2026-07-26T23:43:00.437282+00:00,pull,3,1.668173,session_20260726_234022,0.0,0,[],null,0.0
177,2026-07-26T23:43:00.542338+00:00,pull,3,1.773223,session_20260726_234022,0.0,0,[],null,0.0
178,2026-07-26T23:43:00.645111+00:00,pull,3,1.875999,session_20260726_234022,0.0,0,[],null,0.0
179,2026-07-26T23:43:00.747690+00:00,pull,3,1.978585,session_20260726_234022,0.0,0,[],null,0.0
180,2026-07-26T23:43:10.061445+00:00,pull,4,4e-05,session_20260726_234022,0.0,0,[],null,0.0
181,2026-07-26T23:43:10.166522+00:00,pull,4,0.105125,session_20260726_234022,0.0,0,[],null,0.0
182,2026-07-26T23:43:10.270587+00:00,pull,4,0.209194,session_20260726_234022,0.0,0,[],null,0.0
